Category,Technology,Travel,Sports,Finance,Entertainment,World,Fashion,Health
venture,0,2,0,4,0,0,0,0
second,0,1,7,4,2,1,2,1
worried,1,1,0,4,1,1,0,0
fund,0,1,0,4,0,0,0,0
forecasts,0,1,0,4,0,0,0,0
earlier,2,1,3,4,2,4,1,2
production,1,1,2,4,0,1,0,0
online,3,1,0,4,1,3,1,3
low,0,1,2,4,0,1,1,3
deal,2,1,8,4,0,1,1,1
fell,0,1,3,4,1,6,1,1
tackle,0,1,1,4,0,0,0,0
weapons,0,1,0,4,0,0,0,0
tanked,0,0,0,4,0,0,0,0
restrictions,0,0,0,4,0,0,0,0
government,3,0,0,4,0,6,1,1
crimea,0,0,0,4,0,0,0,0
blamed,1,0,0,4,0,0,0,0
investing,0,0,1,4,0,0,1,0
exports,0,0,0,4,0,1,0,0
rebels,0,0,0,4,0,0,0,0
industries,0,0,0,4,0,0,0,0
portfolio,0,0,0,4,0,0,0,0
banning,0,0,0,4,0,1,0,0
imports,0,0,0,4,0,0,0,0
heavily,1,0,0,4,0,4,2,0
funds,0,0,0,4,0,0,0,1
people,7,9,5,3,7,12,8,12
country,0,8,3,3,0,9,1,2
start,2,6,7,3,0,3,2,1
often,1,6,4,3,0,4,7,5
never,1,6,5,3,0,3,4,6
york,4,6,5,3,2,1,2,4
local,2,6,1,3,0,5,1,3
asked,5,5,2,3,0,1,0,4
great,0,5,6,3,1,4,4,4
live,5,5,1,3,1,3,2,4
american,1,5,3,3,1,2,3,2
enough,0,5,7,3,2,3,2,3
middle,0,5,6,3,0,0,0,1
story,1,5,2,3,4,5,0,4
east,0,4,2,3,1,1,0,1
team,0,4,10,3,1,6,0,4
major,2,4,7,3,0,2,1,3
recent,2,4,3,3,1,2,0,4
become,1,4,4,3,0,4,1,3
left,0,4,10,3,2,7,2,5
making,0,4,7,3,3,2,6,3
former,1,4,5,3,1,3,0,2
least,2,4,6,3,0,5,4,3
national,0,4,3,3,1,3,2,2
despite,1,4,4,3,1,3,0,2
late,0,4,4,3,2,3,1,5
called,3,4,1,3,1,4,1,7
united,5,4,0,3,0,5,1,8
number,2,3,7,3,1,3,2,6
trying,2,3,4,3,2,3,1,4
toward,0,3,3,3,0,5,0,3
including,4,3,3,3,2,9,5,5
behind,1,3,6,3,2,5,3,3
significant,0,3,4,3,0,1,3,1
giant,1,3,1,3,0,0,1,1
bill,3,3,1,3,2,0,0,1
end,1,3,11,3,0,2,3,2
turn,1,3,2,3,1,1,1,0
region,0,3,0,3,0,4,1,1
feel,1,3,2,3,0,2,3,3
tech,8,2,1,3,0,0,0,0
buying,0,2,1,3,0,2,1,1
october,0,2,2,3,0,3,1,0
less,2,2,3,3,0,1,4,4
bank,0,2,2,3,0,0,0,1
forced,0,2,2,3,0,1,0,1
german,0,2,0,3,0,1,2,0
taken,1,2,2,3,0,2,3,1
nearly,0,2,3,3,0,2,0,3
mark,1,2,6,3,1,1,1,2
free,1,2,6,3,0,2,2,5
took,1,2,4,3,1,8,2,4
huge,1,2,3,3,0,3,1,2
officials,1,2,1,3,0,6,0,1
fast,1,2,0,3,0,0,1,0
unit,0,1,0,3,0,1,0,2
eastern,0,1,1,3,0,0,0,1
current,1,1,2,3,1,0,0,1
concern,1,1,1,3,0,0,0,0
trade,0,1,6,3,0,0,2,1
currently,3,1,4,3,0,0,0,0
whole,0,1,1,3,1,5,3,3
firm,0,1,2,3,0,0,0,0
suffering,0,1,1,3,0,0,0,1
led,1,1,5,3,0,2,1,3
monday,3,1,2,3,2,2,0,0
war,1,1,2,3,1,2,0,2
trouble,0,1,0,3,1,1,0,0
fragile,0,1,0,3,0,0,0,0
sales,1,1,0,3,0,1,1,1
amount,1,1,1,3,0,2,0,4
facebook,1,1,16,3,1,1,2,0
tuesday,2,1,6,3,1,7,0,1
give,6,1,16,3,2,6,0,3
bloomberg,0,1,0,3,0,0,0,1
suffered,0,1,4,3,2,2,0,0
track,3,1,1,3,0,0,2,0
raising,0,1,0,3,0,1,0,0
forecast,0,1,0,3,5,0,0,1
running,0,1,5,3,0,4,1,2
largely,0,1,1,3,1,0,2,0
vladimir,0,1,0,3,0,0,0,0
needs,2,1,2,3,0,0,0,4
matters,0,1,0,3,0,1,1,0
security,2,1,0,3,1,5,0,2
account,0,1,4,3,0,1,0,1
chief,2,1,1,3,0,2,0,1
risk,0,1,1,3,0,0,0,4
rise,0,1,1,3,0,0,0,1
followed,1,1,1,3,0,1,0,2
plunging,0,1,0,3,0,0,0,0
plans,1,1,1,3,1,0,0,0
calls,1,1,2,3,0,0,0,0
crash,0,1,0,3,0,0,0,0
acquired,0,1,1,3,0,0,0,0
june,1,1,0,3,0,0,0,0
invested,0,0,0,3,0,0,0,0
falling,0,0,3,3,0,0,0,0
slashed,1,0,1,3,0,0,0,0
xom,0,0,0,3,0,0,0,0
barrel,0,0,0,3,0,0,0,0
imposed,0,0,0,3,0,0,0,0
continues,0,0,0,3,2,0,1,1
index,0,0,0,3,0,0,0,1
weaker,0,0,0,3,0,0,0,0
stake,1,0,0,3,0,0,0,0
shares,0,0,0,3,0,0,0,0
scaling,0,0,0,3,0,0,0,0
price,1,0,3,3,0,0,2,1
lender,0,0,0,3,0,0,0,0
cnnmoney,2,0,0,3,0,0,0,0
brakes,0,0,0,3,0,0,0,0
relations,0,0,1,3,1,2,0,0
partners,0,0,1,3,4,0,1,0
joint,0,0,1,3,0,0,0,0
owns,0,0,0,3,0,1,0,0
effect,0,0,0,3,0,0,0,5
net,0,0,0,3,0,0,0,0
lukoil,0,0,0,3,0,0,0,0
overly,0,0,0,3,0,0,0,0
rosneft,0,0,0,3,0,0,0,0
exploration,0,0,0,3,0,0,1,0
annexed,0,0,0,3,0,0,0,0
shooting,1,0,1,3,0,2,0,0
asset,0,0,1,3,0,0,0,0
revenue,0,0,0,3,0,0,0,0
inflation,0,0,0,3,0,0,0,0
program,2,0,16,3,3,3,1,4
measures,1,0,0,3,0,1,1,1
replace,1,0,3,3,0,1,0,0
january,1,0,0,3,1,0,0,1
export,0,0,0,3,0,0,0,0
city,2,10,6,2,1,6,3,4
take,2,8,8,2,0,7,6,7
come,3,7,7,2,1,5,2,7
work,1,6,5,2,1,5,6,6
comes,2,6,4,2,2,2,4,4
need,2,6,16,2,1,5,4,8
everything,1,6,4,2,2,5,1,1
past,3,5,7,2,2,7,2,4
perfect,0,5,3,2,0,0,3,0
streets,0,5,0,2,0,1,0,0
restaurants,0,5,0,2,0,0,0,1
private,0,5,0,2,0,0,1,0
kind,1,5,4,2,0,1,0,2
flight,1,5,0,2,0,1,0,0
something,1,5,6,2,2,3,6,3
getting,1,5,6,2,0,2,1,1
came,2,4,7,2,1,7,3,1
fish,0,4,0,2,0,0,2,3
large,0,4,1,2,1,3,1,1
car,2,4,1,2,0,3,2,3
thinking,0,4,1,2,0,1,1,3
actually,2,4,3,2,1,1,2,1
key,0,4,3,2,0,2,2,3
stay,0,4,2,2,2,1,0,1
went,1,4,4,2,1,6,2,4
seen,1,4,2,2,0,6,4,1
daily,0,4,1,2,6,2,0,2
little,1,4,4,2,0,2,2,5
public,3,4,1,2,3,6,1,5
however,1,4,7,2,0,1,2,0
chinese,0,4,0,2,0,0,3,0
list,0,4,2,2,2,0,2,3
rather,0,4,3,2,0,6,3,3
easy,4,3,2,2,0,2,2,1
alone,0,3,4,2,0,3,3,2
future,1,3,5,2,2,1,4,6
technology,3,3,0,2,0,0,3,0
order,2,3,2,2,2,0,3,2
together,0,3,0,2,1,3,1,6
change,1,3,4,2,1,4,3,4
famous,0,3,0,2,0,0,1,1
close,2,3,5,2,3,1,0,3
following,1,3,4,2,0,2,1,1
based,1,3,3,2,1,6,3,2
lost,0,3,9,2,5,4,3,1
puts,0,3,1,2,0,1,1,0
drive,0,3,2,2,1,0,1,3
americans,1,3,0,2,0,0,0,2
among,1,3,4,2,1,8,0,4
different,3,3,4,2,1,2,2,6
dollar,0,3,1,2,0,0,0,0
entire,1,3,1,2,0,0,0,2
check,3,3,3,2,0,0,1,1
longer,1,3,3,2,0,3,2,4
includes,0,3,3,2,0,0,1,2
storm,0,3,1,2,0,0,0,1
recently,2,3,4,2,0,3,0,1
watching,0,3,1,2,0,0,1,3
example,2,2,4,2,0,3,3,2
dollars,1,2,2,2,0,1,0,0
jobs,2,2,0,2,0,4,0,1
wants,2,2,1,2,1,1,1,0
rest,0,2,4,2,0,0,3,1
original,0,2,0,2,5,0,0,1
paying,1,2,2,2,0,0,0,2
information,6,2,3,2,0,3,0,5
relationship,0,2,1,2,0,0,0,0
sell,0,2,3,2,0,3,3,1
australia,0,2,0,2,0,3,0,1
ties,0,2,1,2,1,0,0,0
hope,1,2,1,2,0,0,0,4
problem,0,2,3,2,0,2,2,4
germany,0,2,0,2,0,1,1,1
brown,1,2,1,2,1,1,0,0
club,0,2,6,2,0,0,0,1
half,2,2,5,2,1,0,0,4
drop,0,2,0,2,0,0,0,3
offering,0,2,1,2,0,0,1,1
developing,0,2,2,2,1,2,0,2
fruit,0,2,0,2,0,0,0,0
role,1,2,2,2,1,2,1,1
equivalent,0,2,0,2,0,0,0,0
motivated,0,2,0,2,0,3,0,1
heavy,0,2,0,2,0,2,0,0
pretty,2,2,5,2,0,0,1,1
domestic,0,2,0,2,1,0,0,1
march,0,2,1,2,1,0,0,2
products,1,2,1,2,0,2,1,2
keep,4,2,8,2,1,2,1,4
turning,0,2,0,2,0,0,0,0
bottles,0,2,1,2,0,0,0,1
weekend,0,2,2,2,1,0,2,0
father,1,2,1,2,1,4,0,3
man,0,2,3,2,5,5,1,3
main,0,2,2,2,0,1,1,1
august,1,2,1,2,0,1,1,1
hard,1,2,5,2,1,1,3,2
scale,0,2,1,2,0,1,2,1
goods,0,2,1,2,0,2,0,0
mix,0,2,1,2,0,2,1,0
almost,1,2,2,2,0,1,1,3
stores,1,2,0,2,0,0,0,0
add,0,2,0,2,0,0,2,1
changed,0,2,3,2,1,0,1,2
beer,0,2,1,2,0,0,0,0
advanced,1,2,16,2,1,0,1,0
serious,0,2,1,2,4,1,2,1
senior,1,2,1,2,0,2,1,1
period,1,2,2,2,0,0,1,1
idea,1,2,2,2,1,3,6,2
brands,0,2,1,2,0,0,2,0
warnings,0,2,0,2,0,2,0,1
issued,0,2,2,2,0,1,0,0
businesses,0,2,0,2,0,0,0,1
apple,3,2,0,2,0,0,1,0
english,0,2,0,2,0,0,0,1
scared,1,2,0,2,0,2,0,0
contributed,2,1,2,2,2,5,1,3
increasing,1,1,0,2,1,0,0,2
military,0,1,0,2,0,4,1,0
spoke,1,1,0,2,1,0,1,0
danish,0,1,0,2,0,0,0,0
possible,0,1,0,2,1,1,1,3
prevent,0,1,1,2,0,2,0,3
quarter,0,1,2,2,0,0,0,0
average,0,1,6,2,0,0,1,3
sale,0,1,0,2,1,2,2,0
airliner,0,1,0,2,0,0,0,0
thinks,1,1,0,2,0,0,0,1
gone,0,1,2,2,1,3,2,1
projects,1,1,1,2,1,0,0,0
sent,1,1,3,2,1,3,1,0
